"UID","TAXA_ID","COUNT_300","IS_DISTINCT_300","PHYLUM","CLASS","SUBCLASS","ORDER","SUBORDER","FAMILY","SUBFAMILY","GENUS","SPECIES","SUBSPECIES","TARGET_TAXON"
7404,1231,3,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","HOLOPEDIIDAE",NA,"HOLOPEDIUM","ATLANTICUM",NA,"HOLOPEDIUM ATLANTICUM"
1000186,1308,101,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,"DIAPTOMIDAE",NA,"LEPTODIAPTOMUS","MINUTUS",NA,"LEPTODIAPTOMUS MINUTUS"
1000020,1308,19,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,"DIAPTOMIDAE",NA,"LEPTODIAPTOMUS","MINUTUS",NA,"LEPTODIAPTOMUS MINUTUS"
7841,1310,20,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,"DIAPTOMIDAE",NA,"LEPTODIAPTOMUS","NUDUS",NA,"LEPTODIAPTOMUS NUDUS"
7973,1312,1,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,"DIAPTOMIDAE",NA,"LEPTODIAPTOMUS","SICILOIDES",NA,"LEPTODIAPTOMUS SICILOIDES"
7172,1313,28,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,"DIAPTOMIDAE",NA,"LEPTODIAPTOMUS","SIGNICAUDA",NA,"LEPTODIAPTOMUS SIGNICAUDA"
6424,1327,4,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,"CYCLOPIDAE",NA,"MACROCYCLOPS","ALBIDUS",NA,"MACROCYCLOPS ALBIDUS"
7404,1332,2,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,"CYCLOPIDAE",NA,"MESOCYCLOPS","EDAX",NA,"MESOCYCLOPS EDAX"
7830,1332,44,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,"CYCLOPIDAE",NA,"MESOCYCLOPS","EDAX",NA,"MESOCYCLOPS EDAX"
7841,1332,4,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,"CYCLOPIDAE",NA,"MESOCYCLOPS","EDAX",NA,"MESOCYCLOPS EDAX"
7404,1336,25,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","MOINIDAE",NA,"MOINA",NA,NA,"MOINA"
6424,1392,3,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","CHYDORIDAE",NA,"PICRIPLEUROXUS","DENTICULATUS",NA,"PICRIPLEUROXUS DENTICULATUS"
6424,1428,6,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"SCAPHOLEBERIS","MUCRONATA",NA,"SCAPHOLEBERIS MUCRONATA"
6424,1433,1,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"SIMOCEPHALUS","VETULUS",NA,"SIMOCEPHALUS VETULUS"
1000161,1442,13,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,"DIAPTOMIDAE",NA,"SKISTODIAPTOMUS","REIGHARDI",NA,"SKISTODIAPTOMUS REIGHARDI"
